head.feature_extracter.backbone.conv1.weight	(64, 3, 7, 7)
head.feature_extracter.backbone.bn1.weight	(64,)
head.feature_extracter.backbone.bn1.bias	(64,)
head.feature_extracter.backbone.bn1._mean	(64,)
head.feature_extracter.backbone.bn1._variance	(64,)
head.feature_extracter.backbone.layer1.0.conv1.weight	(64, 64, 1, 1)
head.feature_extracter.backbone.layer1.0.bn1.weight	(64,)
head.feature_extracter.backbone.layer1.0.bn1.bias	(64,)
head.feature_extracter.backbone.layer1.0.bn1._mean	(64,)
head.feature_extracter.backbone.layer1.0.bn1._variance	(64,)
head.feature_extracter.backbone.layer1.0.conv2.weight	(64, 64, 3, 3)
head.feature_extracter.backbone.layer1.0.bn2.weight	(64,)
head.feature_extracter.backbone.layer1.0.bn2.bias	(64,)
head.feature_extracter.backbone.layer1.0.bn2._mean	(64,)
head.feature_extracter.backbone.layer1.0.bn2._variance	(64,)
head.feature_extracter.backbone.layer1.0.conv3.weight	(256, 64, 1, 1)
head.feature_extracter.backbone.layer1.0.bn3.weight	(256,)
head.feature_extracter.backbone.layer1.0.bn3.bias	(256,)
head.feature_extracter.backbone.layer1.0.bn3._mean	(256,)
head.feature_extracter.backbone.layer1.0.bn3._variance	(256,)
head.feature_extracter.backbone.layer1.0.downsample.0.weight	(256, 64, 1, 1)
head.feature_extracter.backbone.layer1.0.downsample.1.weight	(256,)
head.feature_extracter.backbone.layer1.0.downsample.1.bias	(256,)
head.feature_extracter.backbone.layer1.0.downsample.1._mean	(256,)
head.feature_extracter.backbone.layer1.0.downsample.1._variance	(256,)
head.feature_extracter.backbone.layer1.1.conv1.weight	(64, 256, 1, 1)
head.feature_extracter.backbone.layer1.1.bn1.weight	(64,)
head.feature_extracter.backbone.layer1.1.bn1.bias	(64,)
head.feature_extracter.backbone.layer1.1.bn1._mean	(64,)
head.feature_extracter.backbone.layer1.1.bn1._variance	(64,)
head.feature_extracter.backbone.layer1.1.conv2.weight	(64, 64, 3, 3)
head.feature_extracter.backbone.layer1.1.bn2.weight	(64,)
head.feature_extracter.backbone.layer1.1.bn2.bias	(64,)
head.feature_extracter.backbone.layer1.1.bn2._mean	(64,)
head.feature_extracter.backbone.layer1.1.bn2._variance	(64,)
head.feature_extracter.backbone.layer1.1.conv3.weight	(256, 64, 1, 1)
head.feature_extracter.backbone.layer1.1.bn3.weight	(256,)
head.feature_extracter.backbone.layer1.1.bn3.bias	(256,)
head.feature_extracter.backbone.layer1.1.bn3._mean	(256,)
head.feature_extracter.backbone.layer1.1.bn3._variance	(256,)
head.feature_extracter.backbone.layer1.2.conv1.weight	(64, 256, 1, 1)
head.feature_extracter.backbone.layer1.2.bn1.weight	(64,)
head.feature_extracter.backbone.layer1.2.bn1.bias	(64,)
head.feature_extracter.backbone.layer1.2.bn1._mean	(64,)
head.feature_extracter.backbone.layer1.2.bn1._variance	(64,)
head.feature_extracter.backbone.layer1.2.conv2.weight	(64, 64, 3, 3)
head.feature_extracter.backbone.layer1.2.bn2.weight	(64,)
head.feature_extracter.backbone.layer1.2.bn2.bias	(64,)
head.feature_extracter.backbone.layer1.2.bn2._mean	(64,)
head.feature_extracter.backbone.layer1.2.bn2._variance	(64,)
head.feature_extracter.backbone.layer1.2.conv3.weight	(256, 64, 1, 1)
head.feature_extracter.backbone.layer1.2.bn3.weight	(256,)
